資料來源 http://fare.fetc.net.tw/Rate.aspx

| #國道     | 出發交流道           | 結束交流道           | 里程 | 牌價 | 假日 |
| #名稱     |                      |                      |      |      | 里程 |
|-----------+----------------------+----------------------+------+------+------|
| 國 10     | 仁武(水管路)         | 燕巢                 |  0.0 |  0.0 |    0 |
| 國 10     | 燕巢                 | 燕巢系統             |  0.0 |  0.0 |    0 |
| 國 10     | 燕巢系統             | 嶺口                 |  0.0 |  0.0 |    0 |
| 國 10     | 嶺口                 | 旗山端               |  0.0 |  0.0 |    0 |
|-----------+----------------------+----------------------+------+------+------|
| 國 1 高架 | 汐止系統             | 堤頂                 |  7.5 |  9.0 |    7 |
| 國 1 高架 | 堤頂                 | 下塔悠出口           |  1.7 |  2.0 |    2 |
| 國 1 高架 | 下塔悠出口           | 環北                 |  5.1 |  6.1 |    5 |
| 國 1 高架 | 環北                 | 五股(高架)           |  7.4 |  8.8 |    8 |
| 國 1 高架 | 五股(高架)           | 機場系統             | 19.2 | 22.9 |   19 |
| 國 1 高架 | 機場系統             | 中壢(高架)           | 10.2 | 12.0 |   10 |
| 國 1 高架 | 中壢(高架)           | 楊梅                 |  6.7 |  8.0 |    7 |
|-----------+----------------------+----------------------+------+------+------|
| 國 3 甲   | 深坑端               | 木柵                 |  0.5 |  0.0 |    1 |
| 國 3 甲   | 木柵                 | 萬芳                 |  1.5 |  1.8 |    2 |
| 國 3 甲   | 萬芳                 | 台北端               |  3.6 |  4.3 |    3 |
